hhsize,able,rec_attended_school,rec_age,dist_food_market,imp_dich,future1yr,asst_idx,lvstk_idx,prod_idx,any_savings,qsn,HF1,HF2,HF3
6,2,,33,,Never willing to wait,1,.57486361,0,.50030637,0,347,0,0,0
10,3,,40,,Willing to wait at least once,1,.97438496,1.3500402,1.1322248,1,350,0,0,0
7,3,,29,,Willing to wait at least once,1,1.5812677,.99696451,1.2120696,0,351,1,1,1
7,2,,34,,Willing to wait at least once,0,.40377998,0,1.0492029,1,352,0,0,0
5,2,,33,,Willing to wait at least once,1,.45559675,0,.89744425,0,353,0,0,0
8,3,,35,,Willing to wait at least once,1,.43129668,1.3113884,.71846193,0,356,0,0,0
6,2,,35,,Willing to wait at least once,0,.93980634,.38368949,.89744425,1,359,0,0,0
9,1,,46,,Willing to wait at least once,1,.76865375,1.2483838,.60697192,0,360,1,0,1
6,2,,46,,Willing to wait at least once,1,.34913072,0,.60697192,0,361,0,0,0
5,2,,27,,Willing to wait at least once,1,.14779887,0,.71846193,0,362,0,0,0
8,2,,37,,Never willing to wait,1,1.5444162,0,.19590285,0,363,1,1,0
10,2,,34,,Willing to wait at least once,0,.45559675,1.3366151,.73335016,0,364,0,0,1
5,1,,34,,Willing to wait at least once,1,.50486028,0,1.0662395,0,365,0,0,1
6,2,,30,,Willing to wait at least once,1,.42450964,0,.50030637,0,510,1,0,1
16,3,,56,,Willing to wait at least once,1,.27653977,.65280515,.48147386,0,513,1,0,1
6,2,,38,,Willing to wait at least once,1,.57486361,.79089421,,0,514,0,0,1
5,2,,38,,Willing to wait at least once,1,.68671119,0,.60697192,0,516,0,0,1
9,3,,42,,Willing to wait at least once,0,.85725987,1.2737226,.80509818,1,517,1,0,1
5,2,,31,,Willing to wait at least once,1,.52900833,0,.19590285,1,647,0,0,0
8,2,,32,,Never willing to wait,1,.076627567,0,1.228333,0,648,0,0,0
8,2,,35,,Never willing to wait,1,.076627567,0,.71846193,0,650,0,0,0
5,1,,47,,Willing to wait at least once,1,.14779887,0,.62360156,0,674,0,0,1
4,2,,47,,Never willing to wait,1,.89599133,0,.80509818,0,679,1,0,1
7,2,,39,,Willing to wait at least once,1,.95898336,.33774942,.9099077,0,682,0,0,0
7,2,,36,,Willing to wait at least once,1,.91290134,.33774942,.99343777,0,690,0,0,0
7,2,,31,,Never willing to wait,1,.076627567,0,.71846193,1,691,0,0,0
5,2,,36,,Never willing to wait,0,.36373544,0,.35964283,0,693,0,0,0
1,0,,60,,Willing to wait at least once,0,0,0,0,0,695,0,0,0
9,3,,39,,Never willing to wait,1,.70041275,0,.60697192,0,696,0,0,0
6,2,,29,,Never willing to wait,1,.21423963,0,.60697192,0,697,0,0,0
11,3,,37,,Willing to wait at least once,1,.80491239,.93014222,.71846193,1,703,0,0,0
7,3,,31,,Willing to wait at least once,1,.69193691,0,.60697192,0,704,0,0,1
